Directory,Project,Notes
MiSeq_M735,Vanessa Harris Andrew,"IDs: Harris.D0.017.306, Harris.D0.018.204, Harris.D0.019.205, Harris.D0.023.206, Harris.D0.025.305, Harris.D0.044.311, Harris.D0.045.212, Harris.D0.047.114, Harris.D0.050.313, Harris.D0.052.214, Harris.D0.053.313, Harris.D0.054.215"
MiSeq_M736,Vanessa Harris Andrew,"IDs: Harris.D0.056.314, Harris.D0.058.316, Harris.D0.059.115, Harris.D0.060.216, Harris.D0.061.317, Harris.D0.062.117, Harris.D0.063.116, Harris.D0.064.217, Harris.D0.080.322, Harris.D0.065.118, Harris.D0.066.319"
MiSeq_M737,Vanessa Harris Andrew,"IDs: Harris.D0.067.218, Harris.D0.068.318, Harris.D0.069.219, Harris.D0.070.119, Harris.D0.072.220, Harris.D0.073.320, Harris.D0.074.221, Harris.D0.078.121, Harris.D0.079.321, Harris.D0.081.122, Harris.D0.082.122"
MiSeq_M740,Vanessa Harris Andrew,"IDs: Harris.D0.020.308, Harris.D0.022.106, Harris.D0.030.107, Harris.D0.031.108, Harris.D0.032.109, Harris.D0.033.207, Harris.D0.034.208, Harris.D0.035.110"
MiSeq_M741,Vanessa Harris Andrew,"IDs: Harris.D0.036.209, Harris.D0.037.309, Harris.D0.038.112, Harris.D0.039.211, Harris.D0.040.310, Harris.D0.041.312, Harris.D0.042.210"
MiSeq_M749_16S,Miles Parkes RC2 IBD 16S; Vanessa Harris Andrew,"database_ID: 7624, 10589, 10595, 10610, 10612, 12240, 12276, 14871, 14964, 15765, 15806, 15815, 15836, 18947, 18953, 18955, 18956, 18964, 18966, 18967, 18972, 18973, 18976, 18978, 18979, 18981, 18982, 18986, 18988, 18990, 18991, 18996, 18997, 18998, 18999, 19000, 19001, 19002, 19003, 19004, 19005, 19006, 19007, 19009, 19010, 19011, 19012, 19013, 19014, 19015, 19017, 19021, 19022, 19023, 19024, 19025, 19026, 19031, 19035, 19036, 19038, 19039, 19047, 19049, 19051, 19053, 19058, 19060, 19061, 19062, 19063, 19064, 19065, 19070, 19071, 19072, 19073, 19074, 19075, 19076, 19077, 19080, 19081, 19082, 19083, 19084, 19085, 19086, 19087, 19092, 19093, 33858, 33888, 33903, 33988, 33990, 33991, 34018, 34023, 34031, 34038"
MiSeq_M750,Miles Parkes RC2 IBD virome,"database_ID: 35215, 35216, 35217, 35218, 35219, 35220, 35221, 35222, 35223, 35224, 35225, 35226"
MiSeq_M751,Miles Parkes RC2 IBD virome,"database_ID: 35227, 35228, 35229, 35230, 35231, 35232, 35233, 35234, 35235, 35236, 35237, 35238"
MiSeq_M754_Nextera,Anca phage,
MiSeq_M759_16S,Diamond 16S,16S
MiSeq_M760_16S,Diamond 16S,16S
MiSeq_M766,Miles Parkes RC2 IBD virome,"database_ID: 35239, 35240, 35241, 35242, 35243, 35244, 35245, 35246, 35247, 35248, 35249, 35250"
MiSeq_M767,Miles Parkes RC2 IBD virome,"database_ID: 35251, 35252, 35253, 35254, 35255, 35256, 35257, 35258, 35259, 35260, 35261, 35262"
MiSeq_M768_ITS,Diamond ITS,ITS
MiSeq_M769_ITS,Diamond ITS,ITS
MiSeq_M772_16S,Barouch 16S,16S
MiSeq_M774,Barouch virome,
MiSeq_M775,Barouch virome,
MiSeq_M777_16S,Miles Parkes RC2 IBD 16S including v1,"database_ID: 7624, 7628, 10583, 10594, 10600, 10612, 12233, 12261, 13568, 14871, 14874, 14954, 14962, 14964, 14966, 14986, 15001, 15815, 27716, 27784, 33872, 33911, 33919, 33920, 33933, 33934, 33943, 33945, 33956, 33979, 33989, 33997, 33999, 34001, 34002, 34017, 34021, 34033, 35215, 35216, 35217, 35218, 35219, 35220, 35221, 35222, 35223, 35224, 35225, 35226, 35227, 35228, 35229, 35230, 35231, 35232, 35233, 35234, 35235, 35236, 35237, 35238, 35239, 35240, 35241, 35242, 35243, 35244, 35245, 35246, 35247, 35248, 35249, 35250, 35251, 35252, 35253, 35254, 35255, 35256, 35257, 35258, 35259, 35260, 35261, 35262, 35263, 35264, 35265, 35266, 35267, 35268, 35269, 35270, 35271, 35272, 35273, 35274, 35275, 35276, 35277, 35278, 35279, 35280, 35281, 35282, 35283, 35284, 35285, 35286, 35287, 35288, 35289, 35290, 35291, 35292, 35293, 35294, 35295, 35296, 35297, 35298, 35299, 35300, 35301, 35302, 35303, 35304, 35305, 35306, 35307, 35308, 35309, 35310, 35407, 35408, 35409, 35410, 35411, 35412, 35413, 35414, 35415, 35416, 35417, 35418, 35419, 35420, 35421, 35422, 35423, 35424, 35425, 35426, 35427, 35428, 35429, 35430, 35431, 35432, 35433, 35434, 35435, 35436, 35437, 35438, 35439, 35440, 35441, 35442, 35443, 35444, 35445, 35446, 35447, 35448, 35449, 35450, 35451, 35452, 35453, 35454, 35455, 35456, 35457, 35458, 35459, 35460, 35461, 35462, 35463, 35464, 35465, 35466, 35467, 35468, 35469, 35470, 35471, 35472, 35473, 35474, 35475, 35476, 35477, 35478, 35479, 35480, 35481, 35482, 35483, 35484, 35485, 35486, 35487, 35488, 35489, 35490, 35491, 35492, 35493, 35494, 35495, 35496, 35497, 35498, 35499, 35500, 35501, 35502"
MiSeq_M781,Miles Parkes RC2 IBD virome,"database_ID: 35263, 35264, 35265, 35266, 35267, 35268, 35269, 35270, 35271, 35272, 35273, 35274"
MiSeq_M782,Miles Parkes RC2 IBD virome,"database_ID: 35275, 35276, 35277, 35278, 35279, 35280, 35281, 35282, 35283, 35284, 35285, 35286"
MiSeq_M783,Miles Parkes RC2 IBD virome,"database_ID: 35287, 35289, 35290, 35291, 35292, 35293, 35294, 35295, 35296, 35297, 35298"
MiSeq_M785,Miles Parkes RC2 IBD virome,"database_ID: 35299, 35301, 35302, 35303, 35304, 35305, 35306, 35307, 35308, 35309, 35310"
MiSeq_M786,Miles Parkes RC2 IBD virome,"database_ID: 35408, 35409, 35410, 35411, 35412, 35413, 35414, 35415, 35416, 35417, 35418"
MiSeq_M787,Miles Parkes RC2 IBD virome,"database_ID: 35420, 35421, 35423, 35424, 35425, 35426, 35427, 35429, 35430"
MiSeq_M788,Miles Parkes RC2 IBD virome,"database_ID: 35431, 35432, 35433, 35434, 35435, 35436, 35437, 35438, 35439, 35440, 35441, 35442"
MiSeq_M791_Tianyu_vero,Miles Parkes RC2  IBD VLPs grown in Veros,
MiSeq_M792_16S,Miles Parkes RC2 IBD 16S,"database_ID: 35529, 35530, 35531, 35532, 35533, 35534, 35535, 35536, 35537, 35538, 35539, 35540, 35541, 35542, 35543, 35544, 35545, 35546, 35547, 35548, 35549, 35550, 35551, 35552, 35553, 35554, 35555, 35556, 35557, 35558, 35559, 35560, 35561, 35562, 35563, 35564, 35565, 35566, 35567, 35568, 35569, 35570, 35571, 35572, 35573, 35574, 35575, 35576, 35577, 35578, 35579, 35580, 35581, 35582, 35583, 35584, 35585, 35586, 35587, 35588, 35589, 35590, 35591, 35592, 35593, 35594, 35595, 35596, 35597, 35598, 35599, 35600, 35601, 35602, 35603, 35604, 35605, 35606, 35607, 35608, 35609, 35610, 35611, 35612, 35613, 35614, 35615, 35616, 35617, 35618, 35619, 35620, 35621, 35622, 35623, 35624"
N762,Diamond enteroid,
N789_TruSeqNano,Miles Parkes RC2 IBD VLPs infecting organoids,
NextSeq_AP2,16S?,Clumped
NextSeq_DB2,16S?,Clumped
NextSeq_M780_BI,Anca bacterial isolates,
NextSeq_N536,Vaccine_Tissue; Control_Tissue,Clumped
NextSeq_N587,"Miles Parkes RC2 IBD virome, PIDR_PyoneAye",
NextSeq_N640,Jeffrey_Colon,
NextSeq_N646,Jeffrey_Sup,
NextSeq_N647,"Jeffrey_Colon, Jeffrey_Sup",
NextSeq_N648,Jeffrey_Sup,
NextSeq_N651_TruSeq_UDI,"SINV_VEEV, SARS_COV_2",
NextSeq_N677,Mike Diamond (Ofer) virus stocks,"Aura, Babinki, Buggy, Ockelbo, Sindbis, SINV TR339"
NextSeq_N682,Jeffrey_Colon,
NextSeq_N683,Jeffrey_Colon,
NextSeq_N689,"SARS-CoV-2_BR, SARS-CoV-2_N501Y_plus, WASH-SA_Spike_p2, DK-B-1-1-298_minus, DK-B-1-1-298_p1, CA-B-1-429_p3, Scotland-B-1-222_minus, Scotland-B-1-222_p1, SARS-CoV-2_N501Y_plus, SARS-CoV-2_South_African_Spike, ARS-CoV-2_UK_Spike, SARS-CoV-2_Brazil_Spike, P2_N501YplusD614G_SARS-COV2",
NextSeq_N698,"Jeffrey_Colon_11, Jeffrey_Colon_13, Jeffrey_Colon_15",
NextSeq_N748_UDP,Rob Edwards UDP phage,"phage: B uniforms, B fragilis, B cellulosilyticus"
NextSeq_N761,Wang Canadian outbreak virome,
NextSeq_N770,Tianyu Gan - Wanglab,
NextSeq_N771_UDP,Tianyu Gan - Wanglab,
Virgin_2624_12_ZoiRNASeq,RNASeq,Clumped
Virgin_2625_12_ZoiRNASeq,RNASeq,Clumped
Yale_CarinaDehner,,
2021_Chandani_DKE,Chandani; Mike Diamond,Results moved to storage; upload of viral genome
